Applied Filters
Filter Name,القيمة
area,"العليا"

Filtered Data Summary Statistics
المقياس,القيمة,الوحدة,بداية الفترة,نهاية الفترة
الحضور,1100,طالب,2025-05-31,2025-06-30
الغياب,0,طالب,2025-05-31,2025-06-30
التأخير,95,طالب,2025-05-31,2025-06-30
الغرامات,0,ريال سعودي,2025-05-31,2025-06-30

Filtered Schools Details
School ID,School Name (EN),School Name (AR),المنطقة,المدينة,المنطقة,الرقم الوزاري,School Type,Gender Type
371," Primary XXV after the Two Hundred 225","الابتدائية الخامسة والعشرون بعد المائتين 225","الرياض","الرياض","العليا","169031","National","Female"
381," One hundred and fifty-fifth primary 155","الابتدائية الخامسة والخمسون بعد المائة 155","الرياض","الرياض","العليا","749141","National","Female"
391," One hundred and ninety-fifth primary 195","الابتدائية الخامسة والتسعون بعد المائة 195","الرياض","الرياض","العليا","841088","National","Female"
401," Primary sixteenth after the two hundred 216","الابتدائية السادسة عشر بعد المائتين 216","الرياض","الرياض","العليا","490723","National","Female"
411," Primary XXVII after three hundred 327","الابتدائية السابعة والعشرون بعد الثلاثمائة 327","الرياض","الرياض","العليا","564102","National","Female"
421," One hundred and fifty-seventh primary 157","الابتدائية السابعة والخمسون بعد المائة 157","الرياض","الرياض","العليا","677661","National","Female"
431," Primary XV 15","الابتدائية الخامسة عشرة 15","الرياض","الرياض","العليا","359050","National","Female"
441," Primary Sixty-first 61","الابتدائية الحادية والستون 61","الرياض","الرياض","العليا","582901","National","Female"
451," Primary thirty-first after the two hundred 231","الابتدائية الحادية والثلاثون بعد المائتان 231","الرياض","الرياض","العليا","881512","National","Female"
461," Primary XI after the two hundred 211","الابتدائية الحادية عشر بعد المائتان 211","الرياض","الرياض","العليا","252592","National","Female"
471," Primary XXII after three hundred 322.","الابتدائية الثانية والعشرون بعد الثلاثمائة 322","الرياض","الرياض","العليا","749817","National","Female"
481," Primary Eighty-second 82","الابتدائية الثانية والثمانون 82","الرياض","الرياض","العليا","271002","National","Female"
491," Primary XLIII","الابتدائية الثانية والأربعون","الرياض","الرياض","العليا","632543","National","Female"
501," Second Primary 2","الابتدائية الثانية 2","الرياض","الرياض","العليا","691929","National","Female"
511," Primary eighty-eighth after the two hundred 288","الابتدائية الثامنة والثمانون بعد المائتان 288","الرياض","الرياض","العليا","114200","National","Female"
521," Eighth Primary Quran Memorization 8","الابتدائية الثامنة لتحفيظ القرآن الكريم 8","الرياض","الرياض","العليا","601674","National","Female"
531," Primary Seventy-third 73","الابتدائية الثالثة والسبعون 73","الرياض","الرياض","العليا","707992","National","Female"
541," One hundred and ninety-third primary 193","الابتدائية الثالثة والتسعون بعد المائة 193","الرياض","الرياض","العليا","142333","National","Female"
551," Third Primary after Three Hundred 303","الابتدائية الثالثة بعد الثلاثمائة 303","الرياض","الرياض","العليا","807146","National","Female"
561," Primary Seventy-ninth 79","الابتدائية التاسعة والسبعون 79","الرياض","الرياض","العليا","883613","National","Female"
571," Primary Thirty-ninth 39","الابتدائية التاسعة والثلاثون 39","الرياض","الرياض","العليا","227446","National","Female"
581," Ninth Primary 9","الابتدائية التاسعة 9","الرياض","الرياض","العليا","599719","National","Female"
591,"Medium Cent 100","المتوسطة المائة 100","الرياض","الرياض","العليا","699329","National","Female"
601,"Intermediate Sixty-sixth 66","المتوسطة السادسة والستون 66","الرياض","الرياض","العليا","387601","National","Female"
611,"Sixth Intermediate Quran Memorization 6","المتوسطة السادسة لتحفيظ القرآن الكريم 6","الرياض","الرياض","العليا","599620","National","Female"
621,"Intermediate Fifty-seventh 57","المتوسطة السابعة والخمسون 57","الرياض","الرياض","العليا","109974","National","Female"
631,"Seventeenth Intermediate Quran Memorization 17","المتوسطة السابعة عشر لتحفيظ القرآن الكريم 17","الرياض","الرياض","العليا","417461","National","Female"
641,"Intermediate Fifty-fourth 54","المتوسطة الرابعة والخمسون 54","الرياض","الرياض","العليا","870874","National","Female"
651,"Intermediate XIV 14","المتوسطة الرابعة عشر 14","الرياض","الرياض","العليا","220603","National","Female"
661,"Hundred and Ninety-fifth Intermediate 195","المتوسطة الخامسة والتسعون بعد المائة 195","الرياض","الرياض","العليا","460843","National","Female"
671,"Intermediate XXI 21","المتوسطة الحادية والعشرون 21","الرياض","الرياض","العليا","682216","National","Female"
681,"Intermediate Forty-first 41","المتوسطة الحادية و الأربعون 41","الرياض","الرياض","العليا","541566","National","Female"
691,"Hundred and Seventy-second Intermediate 172","المتوسطة الثانية والسبعون بعد المائة 172","الرياض","الرياض","العليا","105162","National","Female"
701,"Intermediate second hundred 102","المتوسطة الثانية بعد المائة 102","الرياض","الرياض","العليا","967238","National","Female"
711,"Hundred and forty-eighth intermediate 148.","المتوسطة الثامنة والأربعون بعد المائة 148","الرياض","الرياض","العليا","201277","National","Female"
721,"Hundred and Seventy-third Intermediate 173","المتوسطة الثالثة والسبعون بعد المائة 173","الرياض","الرياض","العليا","489583","National","Female"
731,"Intermediate Fifty-third 53","المتوسطة الثالثة والخمسون 53","الرياض","الرياض","العليا","450471","National","Female"
741,"Hundred and Fifty-ninth Intermediate 159","المتوسطة التاسعة والخمسون بعد المائة 159","الرياض","الرياض","العليا","855193","National","Female"
751,"Hundred and Eighty-third Intermediate 183","المتوسطة الثالثة والثمانون بعد المائة 183","الرياض","الرياض","العليا","574663","National","Female"
761,"Hundred and Twenty-fourth Intermediate 124","المتوسطة الرابعة والعشرون بعد المائة 124","الرياض","الرياض","العليا","861818","National","Female"

Filtered Students Details
Student ID,First Name (EN),Last Name (EN),First Name (AR),Last Name (AR),School Name (EN),School Name (AR),Gender
42,"Noura","Youssef Omar Abdelrahman Ali","نورا","بدر نور نور علي","Hundred and Seventy-second Intermediate 172","المتوسطة الثانية والسبعون بعد المائة 172","Female"
46,"Nour","Hassan Youssef Hassan Tawfik","نور","منصور باسل باسل جابر","Othman bin Talha medium","متوسطة عثمان بن طلحة","Male"
60,"Khalid","Turki Fahad Fahad Al Saud","خالد","محمد رامي باسل عازار","Dhi El Nourain Medium","متوسطة ذي النورين","Male"
61,"Bassel","Turki Fahad Fahad Al Saud","باسل","محمد رامي باسل عازار","Medium Omair Bin Wahb","متوسطة عمير بن وهب","Male"
69,"Nihal","Youssef Youssef Hassan Mahmoud","نهال","فيصل سعود آل سعود","Hundred and Twenty-fourth Intermediate 124","المتوسطة الرابعة والعشرون بعد المائة 124","Female"
96,"Noura","Fahad Khalid Turki Al Harbi","نورا","يوسف طارق طارق فريد","Hundred and forty-eighth intermediate 148.","المتوسطة الثامنة والأربعون بعد المائة 148","Female"
105,"Mona","Rami Bassel Bassel Jaber","مني","ناصر كرم باسل خوري","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
120,"Karam","Bassel Nader Rami Kanaan","كرم","هشام أحمد أحمد إبراهيم","Prince Abdulmohsen bin Abdulaziz High School","ثانوية الأمير عبدالمحسن بن عبدالعزيز","Male"
124,"Latifa","Bassel Nader Rami Kanaan","لطيفة","هشام أحمد أحمد إبراهيم","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
155,"Huda","Karam Bassel Jamil Azar","هدي","عبدالله خالد سعود العتيبي","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
158,"Hassan","Karam Bassel Jamil Azar","حسن","عبدالله خالد سعود العتيبي","Capital Institute Model High School","ثانوية معهد العاصمة النموذجي","Male"
161,"Mona","Karam Bassel Jamil Azar","مني","عبدالله خالد سعود العتيبي","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
167,"Bassel","Mohammed Rami Bassel Azar","باسل","سعود نادر جميل حداد","Capital Institute Model High School","ثانوية معهد العاصمة النموذجي","Male"
171,"Fatima","Faisal Saud Saud Al Saud","فاطمه","ناصر فهد تركي العتيبي","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
177,"Bassel","Khalid Saud Khalid Al Saud","باسل","طارق مصطفى يوسف توفيق","Capital Institute Model High School","ثانوية معهد العاصمة النموذجي","Male"
179,"Lina","Khalid Saud Khalid Al Saud","لينا","طارق مصطفى يوسف توفيق","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
193,"Ahmed","Abdullah Turki Saud Al Mutairi","احمد","محمد جميل نادر جابر","Ibn El Moataz High School","ثانوية ابن المعتز","Male"
201,"Rima","Ahmed Hassan Mostafa Tawfik","ريما","فهد باسل جميل عازر","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
204,"Turki","Ahmed Hassan Mostafa Tawfik","تركي","فهد باسل جميل عازر","Jerusalem High School","ثانوية القدس","Male"
206,"Ismail","Abdelrahman Ismail Nour Abdelrahman","إسماعيل","عمر محمد عمر مصطفى","Prince Abdulmohsen bin Abdulaziz High School","ثانوية الأمير عبدالمحسن بن عبدالعزيز","Male"
210,"Noura","Abdelrahman Ismail Nour Abdelrahman","نورا","عمر محمد عمر مصطفى","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
219,"Diala","Karam Nader Rami Khoury","ديالا","يوسف مصطفى أحمد السيد","Ahmed El Zayat High School For Quran Memorization","ثانوية أحمد الزيات لتحفيظ القرآن الكريم","Female"
258,"Nader","Karim Tarek Hassan El Sayed","نادر","خالد تركي عبدالله آل سعود","Hundred and Eighty-sixth Primary 186","الابتدائية السادسة والثمانون بعد المائة 186","Male"
282,"Hassan","Abdelrahman Nour Abdelrahman Ibrahim","حسن","سعود فهد عبدالله آل سعود","Arab Private Academy Primary School","ابتدائية الأكاديمية العربية الخاصة","Male"
283,"Rami","Abdelrahman Nour Abdelrahman Ibrahim","رامي","سعود فهد عبدالله آل سعود","Primary Secrets Eligibility","ابتدائية أسراري الأهلية","Male"
285,"Hala","Abdelrahman Nour Abdelrahman Ibrahim","هاله","سعود فهد عبدالله آل سعود","Primary Twenty-fourth Quran Memorization 24","الابتدائية الرابعة والعشرون لتحفيظ القرآن الكريم 24","Female"
295,"Najat","Bassel Jamil Bassel Jaber","نجاة","فهد خالد تركي الحربي","Primary XVI 16","الابتدائية السادسة عشرة 16","Female"
304,"Maha","Abdullah Khalid Saud Al Otaibi","مها","جميل نادر كرم جابر"," Primary sixteenth after the two hundred 216","الابتدائية السادسة عشر بعد المائتين 216","Female"
308,"Samar","Saud Nader Jamil Haddad","سمر","إسماعيل عمر نور حسن","Primary XXVII after the two hundred 227","الابتدائية السابعة والعشرون بعد المائتين 227","Female"
326,"Latifa","Hassan Ahmed Ahmed El Sayed","لطيفة","أحمد مصطفى مصطفى إبراهيم"," Second Primary 2","الابتدائية الثانية 2","Female"
327,"Omar","Hassan Ahmed Ahmed El Sayed","عمر","أحمد مصطفى مصطفى إبراهيم","Horizon National Primary School","ابتدائية الأفق الأهلية","Male"
336,"Hala","Tarek Mostafa Youssef Tawfik","هاله","عبد الرحمن إسماعيل نور عبد الرحمن","Primary Thirty-fourth for Quran Memorization 34","الابتدائية الرابعة والثلاثون لتحفيظ القرآن الكريم 34","Female"
352,"Nader","Mostafa Tarek Tarek Tawfik","نادر","حسن مصطفى أحمد السيد","Primary Secrets Eligibility","ابتدائية أسراري الأهلية","Male"
356,"Tarek","Mansour Karam Karam Azar","طارق","طارق حسن يوسف فريد","Horizon National Primary School","ابتدائية الأفق الأهلية","Male"
358,"Dina","Turki Abdullah Saud Al Harbi","دينا","جميل نادر رامي كنعان","Primary XXVII after the two hundred 227","الابتدائية السابعة والعشرون بعد المائتين 227","Female"
365,"Hala","Karam Bassel Rami Jaber","هاله","خالد سعود فهد الحربي"," One hundred and ninety-third primary 193","الابتدائية الثالثة والتسعون بعد المائة 193","Female"
377,"Huda","Omar Ismail Abdelrahman Hassan","هدي","نادر باسل جميل عازر"," Primary Seventy-third 73","الابتدائية الثالثة والسبعون 73","Female"
381,"Diala","Omar Omar Mohamed Mustafa","ديالا","عمر عمر عبد الرحمن عبد الرحمن"," Primary Sixty-first 61","الابتدائية الحادية والستون 61","Female"
391,"Najat","Turki Turki Turki Al Saud","نجاة","فهد سعود عبدالله القحطاني"," Third Primary after Three Hundred 303","الابتدائية الثالثة بعد الثلاثمائة 303","Female"
396,"Samar","Faisal Turki Saud Al Mutairi","سمر","مصطفى طارق طارق توفيق"," Primary Seventy-third 73","الابتدائية الثالثة والسبعون 73","Female"
404,"Abdelrahman","Mostafa Ahmed Mostafa Mahmoud","عبد الرحمن","مصطفى طارق أحمد فريد","Primary Secrets Eligibility","ابتدائية أسراري الأهلية","Male"
406,"Dina","Mostafa Ahmed Mostafa Mahmoud","دينا","مصطفى طارق أحمد فريد"," Second Primary 2","الابتدائية الثانية 2","Female"
413,"Noura","Tarek Tarek Mostafa Ibrahim","نورا","نادر نادر كرم عازر"," Second Primary 2","الابتدائية الثانية 2","Female"
425,"Salma","Fahad Abdullah Saud Al Mutairi","سلمي","عمر إسماعيل عبد الرحمن حسن"," Primary XV 15","الابتدائية الخامسة عشرة 15","Female"
426,"Youssef","Fahad Abdullah Saud Al Mutairi","يوسف","عمر إسماعيل عبد الرحمن حسن","Horizon National Primary School","ابتدائية الأفق الأهلية","Male"
436,"Abdelrahman","Tarek Youssef Mostafa Ibrahim","عبد الرحمن","تركي تركي تركي آل سعود","Sixty-sixth primary after the two hundred 266","الابتدائية السادسة والستون بعد المائتين 266","Male"
451,"Ahmed","Tarek Tarek Hassan Mahmoud","احمد","حسن أحمد أحمد توفيق","Primary Secrets Eligibility","ابتدائية أسراري الأهلية","Male"
471,"Saud","Khalid Bassel Rami Kanaan","سعود","طارق طارق حسن محمود","Arab Private Academy Primary School","ابتدائية الأكاديمية العربية الخاصة","Male"
472,"Nour","Khalid Bassel Rami Kanaan","نور","طارق طارق حسن محمود","Hundred and Eighty-sixth Primary 186","الابتدائية السادسة والثمانون بعد المائة 186","Male"
497,"Samar","Sherif Youssef Mostafa Ibrahim","سمر","نادر باسل جميل عازر","Primary XVI 16","الابتدائية السادسة عشرة 16","Female"
