student_id,school_id,class_en,class_ar,first_name_en,first_name_ar,last_name_en,last_name_ar,date_of_birth,date_of_birth_hijri,gender,registration_no,poi_number,identity_type,image_url
297,256,First Primary,الأول الابتدائي,Bassel,باسل,Turki Rami Nader Azar,رامي باسل باسل جابر,2017-03-03,1440-02-07,Male,REG100625,158277723,Iqama,https://files.catbox.moe/tw1jzy.jpg
313,269,First Primary,الأول الابتدائي,Ahmed,احمد,Ahmed Youssef Hassan El Sayed,حسن أحمد طارق إبراهيم,2018-10-08,1439-12-30,Male,REG809760,138212610,National_ID,https://files.catbox.moe/ypraoq.jpg
315,256,First Primary,الأول الابتدائي,Khalid,خالد,Ahmed Youssef Hassan El Sayed,حسن أحمد طارق إبراهيم,2017-11-01,1432-07-17,Male,REG991154,223405521,National_ID,https://files.catbox.moe/2l6fok.jpg
318,477,First Primary,الأول الابتدائي,Amna,آمنة,Nader Bassel Jamil Azar,كرم باسل جميل عازر,2018-07-24,1431-09-22,Female,REG838684,194644955,Iqama,https://files.catbox.moe/r5nj4o.jpg
323,277,First Primary,الأول الابتدائي,Youssef,يوسف,Nasser Fahad Turki Al Otaibi,خالد سعود خالد آل سعود,2017-11-12,1432-07-19,Male,REG787763,182920738,National_ID,https://files.catbox.moe/23kp94.jpg
330,562,First Primary,الأول الابتدائي,Hala,هاله,Omar Omar Abdelrahman Abdelrahman,أحمد حسن مصطفى توفيق,2017-09-16,1429-07-24,Female,REG909510,212908769,National_ID,https://files.catbox.moe/tyqlaa.jpg
331,287,First Primary,الأول الابتدائي,Youssef,يوسف,Omar Omar Abdelrahman Abdelrahman,أحمد حسن مصطفى توفيق,2017-06-15,1431-06-17,Male,REG180022,229429790,National_ID,https://files.catbox.moe/2l6fok.jpg
338,262,First Primary,الأول الابتدائي,Youssef,يوسف,Abdullah Saud Saud Al Qahtani,عبدالله عبدالله سعود العتيبي,2017-06-24,1434-07-03,Male,REG746481,233892633,Iqama,https://files.catbox.moe/2l6fok.jpg
339,463,First Primary,الأول الابتدائي,Najat,نجاة,Abdullah Saud Saud Al Qahtani,عبدالله عبدالله سعود العتيبي,2018-12-26,1429-10-16,Female,REG769112,260445597,Iqama,https://files.catbox.moe/tyqlaa.jpg
344,244,First Primary,الأول الابتدائي,Nader,نادر,Nour Abdelrahman Mohamed Ibrahim,كرم نادر رامي خوري,2017-12-30,1438-11-08,Male,REG536316,291685340,National_ID,https://files.catbox.moe/23kp94.jpg
348,330,First Primary,الأول الابتدائي,Latifa,لطيفة,Fahad Saud Abdullah Al Qahtani,خالد فهد سعود الحربي,2017-12-16,1434-05-22,Female,REG792939,254131047,Iqama,https://files.catbox.moe/r5nj4o.jpg
372,355,First Primary,الأول الابتدائي,Salma,سلمي,Hassan Ahmed Tarek Ibrahim,أحمد يوسف حسن السيد,2017-04-26,1435-09-26,Female,REG820568,187202093,National_ID,https://files.catbox.moe/r5nj4o.jpg
376,538,First Primary,الأول الابتدائي,Rima,ريما,Omar Ismail Abdelrahman Hassan,نادر باسل جميل عازر,2018-08-15,1439-04-26,Female,REG991926,180280163,National_ID,https://files.catbox.moe/r5nj4o.jpg
382,400,First Primary,الأول الابتدائي,Samar,سمر,Omar Omar Mohamed Mustafa,عمر عمر عبد الرحمن عبد الرحمن,2018-04-17,1429-07-05,Female,REG365084,162926970,Iqama,https://files.catbox.moe/r5nj4o.jpg
414,403,First Primary,الأول الابتدائي,Rima,ريما,Tarek Tarek Mostafa Ibrahim,نادر نادر كرم عازر,2018-01-10,1431-01-26,Female,REG628244,179636512,Iqama,https://files.catbox.moe/tyqlaa.jpg
417,292,First Primary,الأول الابتدائي,Ismail,إسماعيل,Abdullah Nader Jamil Kanaan,أحمد مصطفى يوسف محمود,2017-11-30,1438-01-25,Male,REG505480,121913610,Iqama,https://files.catbox.moe/23kp94.jpg
421,398,First Primary,الأول الابتدائي,Rania,رانيا,Youssef Mostafa Ahmed El Sayed,حسن أحمد طارق إبراهيم,2017-10-22,1434-07-17,Female,REG675071,142179101,National_ID,https://files.catbox.moe/r5nj4o.jpg
430,437,First Primary,الأول الابتدائي,Amna,آمنة,Mahmoud Omar Ismail Abdelrahman,عمر عمر محمد مصطفى,2017-08-20,1429-03-05,Female,REG903273,160364815,Iqama,https://files.catbox.moe/r5nj4o.jpg
432,498,First Primary,الأول الابتدائي,Abeer,عبير,Hassan Ahmed Ahmed Tawfik,طارق أحمد طارق السيد,2018-09-10,1428-06-19,Female,REG528961,234551157,National_ID,https://files.catbox.moe/tyqlaa.jpg
436,281,First Primary,الأول الابتدائي,Abdelrahman,عبد الرحمن,Tarek Youssef Mostafa Ibrahim,تركي تركي تركي آل سعود,2018-09-01,1439-11-20,Male,REG972288,227981400,Iqama,https://files.catbox.moe/tw1jzy.jpg
440,299,First Primary,الأول الابتدائي,Saud,سعود,Abdullah Turki Fahad Al Harbi,مصطفى أحمد مصطفى محمود,2018-07-22,1439-01-27,Male,REG389133,113600402,Iqama,https://files.catbox.moe/ypraoq.jpg
441,345,First Primary,الأول الابتدائي,Rania,رانيا,Abdullah Turki Fahad Al Harbi,مصطفى أحمد مصطفى محمود,2018-09-24,1434-06-28,Female,REG242173,189724929,Iqama,https://files.catbox.moe/tyqlaa.jpg
445,394,First Primary,الأول الابتدائي,Dina,دينا,Saud Khalid Fahad Al Qahtani,طارق طارق مصطفى إبراهيم,2018-02-25,1439-09-08,Female,REG550914,288783456,National_ID,https://files.catbox.moe/tyqlaa.jpg
455,357,First Primary,الأول الابتدائي,Rima,ريما,Tarek Tarek Hassan Mahmoud,حسن أحمد أحمد توفيق,2018-02-25,1433-04-24,Female,REG644300,281421717,Iqama,https://files.catbox.moe/tyqlaa.jpg
462,246,First Primary,الأول الابتدائي,Abdullah,عبد الله,Mansour Fahad Turki Al Saud,سعود خالد فهد القحطاني,2018-05-07,1429-10-31,Male,REG334226,299887145,National_ID,https://files.catbox.moe/23kp94.jpg
468,289,First Primary,الأول الابتدائي,Hassan,حسن,Tarek Youssef Ahmed Ibrahim,رامي كرم كرم جابر,2017-06-08,1439-11-07,Male,REG701819,285701403,National_ID,https://files.catbox.moe/23kp94.jpg
475,300,First Primary,الأول الابتدائي,Abdelrahman,عبد الرحمن,Khalid Bassel Rami Kanaan,طارق طارق حسن محمود,2018-02-04,1427-10-25,Male,REG268368,168743115,Iqama,https://files.catbox.moe/tw1jzy.jpg
490,536,First Primary,الأول الابتدائي,Dina,دينا,Nader Bassel Jamil Azar,خالد فهد فهد آل سعود,2017-02-16,1433-02-04,Female,REG420979,173927618,National_ID,https://files.catbox.moe/r5nj4o.jpg
493,243,First Primary,الأول الابتدائي,Abdullah,عبد الله,Mohammed Mohamed Nour Ibrahim,نور إسماعيل نور عبد الرحمن,2018-01-05,1432-06-09,Male,REG548053,158742294,Iqama,https://files.catbox.moe/tw1jzy.jpg
495,462,First Primary,الأول الابتدائي,Maha,مها,Mohammed Mohamed Nour Ibrahim,نور إسماعيل نور عبد الرحمن,2017-11-16,1438-03-19,Female,REG322735,252389565,Iqama,https://files.catbox.moe/r5nj4o.jpg
103,230,First secondary,الأول ثانوي,Fatima,فاطمه,Rami Bassel Bassel Jaber,ناصر كرم باسل خوري,2012-09-24,1433-09-24,Female,REG780554,210936528,National_ID,https://files.catbox.moe/178hjt.png
107,229,First secondary,الأول ثانوي,Mona,مني,Jamil Nader Karam Jaber,بدر جميل باسل كنعان,2012-10-13,1433-10-13,Female,REG459640,153398085,Iqama,https://files.catbox.moe/68hhzz.png
113,235,First secondary,الأول ثانوي,Najat,نجاة,Ismail Omar Nour Hassan,منصور رامي رامي خوري,2011-01-05,1432-01-05,Female,REG806813,149423550,Iqama,https://files.catbox.moe/su8v9w.png
126,184,First secondary,الأول ثانوي,Karam,كرم,Bassel Nader Rami Kanaan,هشام أحمد أحمد إبراهيم,2016-04-27,1437-04-27,Male,REG582565,126244267,Iqama,https://files.catbox.moe/pm003z.jpg
132,115,First secondary,الأول ثانوي,Ismail,إسماعيل,Hassan Ahmed Tarek Ibrahim,كريم طارق حسن السيد,2011-05-22,1432-05-22,Male,REG988730,131406750,Iqama,https://files.catbox.moe/pusrqu.jpg
134,185,First secondary,الأول ثانوي,Abdullah,عبد الله,Bader Nour Nour Ali,فيصل نادر كرم حداد,2014-07-12,1435-07-12,Male,REG896758,171348102,National_ID,https://files.catbox.moe/pm003z.jpg
137,204,First secondary,الأول ثانوي,Jamil,جميل,Bader Nour Nour Ali,فيصل نادر كرم حداد,2007-03-20,1428-03-20,Male,REG274242,299540001,National_ID,https://files.catbox.moe/pusrqu.jpg
139,232,First secondary,الأول ثانوي,Abeer,عبير,Bader Nour Nour Ali,فيصل نادر كرم حداد,2009-06-13,1430-06-13,Female,REG321589,220279706,National_ID,https://files.catbox.moe/su8v9w.png
144,233,First secondary,الأول ثانوي,Salma,سلمي,Mansour Bassel Bassel Jaber,أحمد حسن مصطفى إبراهيم,2013-04-03,1434-04-03,Female,REG329701,290246049,National_ID,https://files.catbox.moe/178hjt.png
149,149,First secondary,الأول ثانوي,Nour,نور,Khalid Rami Bassel Kanaan,تركي رامي نادر عازر,2008-02-01,1429-02-01,Male,REG619711,158652384,National_ID,https://files.catbox.moe/pm003z.jpg
150,133,First secondary,الأول ثانوي,Abdelrahman,عبد الرحمن,Khalid Rami Bassel Kanaan,تركي رامي نادر عازر,2015-12-08,1436-12-08,Male,REG721057,162373998,National_ID,https://files.catbox.moe/pusrqu.jpg
155,231,First secondary,الأول ثانوي,Huda,هدي,Karam Bassel Jamil Azar,عبدالله خالد سعود العتيبي,2008-07-05,1429-07-05,Female,REG116036,172850458,National_ID,https://files.catbox.moe/68hhzz.png
163,228,First secondary,الأول ثانوي,Lina,لينا,Mohammed Rami Bassel Azar,سعود نادر جميل حداد,2012-02-05,1433-02-05,Female,REG537252,197164551,National_ID,https://files.catbox.moe/su8v9w.png
170,235,First secondary,الأول ثانوي,Salma,سلمي,Faisal Saud Saud Al Saud,ناصر فهد تركي العتيبي,2012-10-13,1433-10-13,Female,REG219158,244832475,National_ID,https://files.catbox.moe/68hhzz.png
172,234,First secondary,الأول ثانوي,Maha,مها,Faisal Saud Saud Al Saud,ناصر فهد تركي العتيبي,2007-11-16,1428-11-16,Female,REG103541,139646679,National_ID,https://files.catbox.moe/178hjt.png
174,229,First secondary,الأول ثانوي,Dina,دينا,Faisal Saud Saud Al Saud,ناصر فهد تركي العتيبي,2007-11-02,1428-11-02,Female,REG714139,140571697,National_ID,https://files.catbox.moe/su8v9w.png
179,231,First secondary,الأول ثانوي,Lina,لينا,Khalid Saud Khalid Al Saud,طارق مصطفى يوسف توفيق,2012-12-10,1433-12-10,Female,REG863804,192556065,National_ID,https://files.catbox.moe/178hjt.png
184,223,First secondary,الأول ثانوي,Abdelrahman,عبد الرحمن,Ahmed Youssef Ahmed Tawfik,منصور كرم كرم عازر,2015-03-23,1436-03-23,Male,REG457516,286851904,Iqama,https://files.catbox.moe/pm003z.jpg
202,206,First secondary,الأول ثانوي,Jamil,جميل,Ahmed Hassan Mostafa Tawfik,فهد باسل جميل عازر,2008-05-08,1429-05-08,Male,REG627420,129588730,National_ID,https://files.catbox.moe/pm003z.jpg
209,229,First secondary,الأول ثانوي,Noura,نورا,Abdelrahman Ismail Nour Abdelrahman,عمر محمد عمر مصطفى,2017-11-29,1438-11-29,Female,REG868369,284137725,Iqama,https://files.catbox.moe/68hhzz.png
211,172,First secondary,الأول ثانوي,Ismail,إسماعيل,Abdullah Abdullah Saud Al Otaibi,عبد الله نادر جميل كنعان,2008-06-01,1429-06-01,Male,REG846786,177678771,National_ID,https://files.catbox.moe/pusrqu.jpg
221,145,First secondary,الأول ثانوي,Tarek,طارق,Khalid Fahad Saud Al Harbi,محمود عمر إسماعيل عبد الرحمن,2008-03-05,1429-03-05,Male,REG121626,257907844,Iqama,https://files.catbox.moe/pm003z.jpg
222,127,First secondary,الأول ثانوي,Jamil,جميل,Khalid Fahad Saud Al Harbi,محمود عمر إسماعيل عبد الرحمن,2009-10-06,1430-10-06,Male,REG553808,246670434,Iqama,https://files.catbox.moe/pm003z.jpg
227,159,First secondary,الأول ثانوي,Abdelrahman,عبد الرحمن,Youssef Tarek Tarek Farid,طارق يوسف مصطفى إبراهيم,2008-12-20,1429-12-20,Male,REG102869,237469094,Iqama,https://files.catbox.moe/pm003z.jpg
228,222,First secondary,الأول ثانوي,Mohamed,محمد,Youssef Tarek Tarek Farid,طارق يوسف مصطفى إبراهيم,2008-03-05,1429-03-05,Male,REG526274,261299978,Iqama,https://files.catbox.moe/pusrqu.jpg
235,235,First secondary,الأول ثانوي,Maha,مها,Hassan Mostafa Ahmed El Sayed,منصور فهد تركي آل سعود,2017-12-17,1438-12-17,Female,REG669611,122208512,National_ID,https://files.catbox.moe/68hhzz.png
2,590,First Intermediate,الأول متوسط,Mona,مني,Fahad Karam Jamil Azar,فهد كرم جميل عازر,2017-11-09,1438-11-09,Female,REG940190,126015182,Iqama,https://files.catbox.moe/mq2lyu.jpg
3,637,First Intermediate,الأول متوسط,Salma,سلمي,Fahad Karam Jamil Azar,فهد كرم جميل عازر,2016-01-23,1437-01-23,Female,REG460538,115413312,Iqama,https://files.catbox.moe/mq2lyu.jpg
5,93,First Intermediate,الأول متوسط,Turki,تركي,Fahad Karam Jamil Azar,فهد كرم جميل عازر,2006-12-07,1427-12-07,Male,REG521988,115507551,Iqama,https://files.catbox.moe/ki5ubc.jpg
7,50,First Intermediate,الأول متوسط,Mohamed,محمد,Fahad Karam Jamil Azar,فهد كرم جميل عازر,2018-05-03,1439-05-03,Male,REG789197,138908321,Iqama,https://files.catbox.moe/ki5ubc.jpg
10,70,First Intermediate,الأول متوسط,Khalid,خالد,Abdelrahman Nour Nour Abdelrahman,عمر إسماعيل عبد الرحمن علي,2017-08-29,1438-08-29,Male,REG443751,225369105,National_ID,https://files.catbox.moe/ki5ubc.jpg
14,678,First Intermediate,الأول متوسط,Noura,نورا,Abdelrahman Nour Nour Abdelrahman,عمر إسماعيل عبد الرحمن علي,2013-12-21,1434-12-21,Female,REG299872,299802516,National_ID,https://files.catbox.moe/emgnbf.jpg
17,77,First Intermediate,الأول متوسط,Rami,رامي,Khalid Turki Abdullah Al Saud,عبدالله سعود آل سعود,2018-05-01,1439-05-01,Male,REG954647,167235465,Iqama,https://files.catbox.moe/ki5ubc.jpg
20,615,First Intermediate,الأول متوسط,Nihal,نهال,Khalid Turki Abdullah Al Saud,عبدالله سعود آل سعود,2015-05-16,1436-05-16,Female,REG760816,186884729,Iqama,https://files.catbox.moe/mq2lyu.jpg
25,96,First Intermediate,الأول متوسط,Tarek,طارق,Omar Ismail Abdelrahman Ali,يوسف عمر عبد الرحمن علي,2006-05-26,1427-05-26,Male,REG725362,254572244,Iqama,https://files.catbox.moe/pusrqu.jpg
31,23,First Intermediate,الأول متوسط,Omar,عمر,Abdullah Saud Saud Al Saud,ناصر عبدالله سعود القحطاني,2007-03-30,1428-03-30,Male,REG547698,215452944,National_ID,https://files.catbox.moe/ki5ubc.jpg
33,752,First Intermediate,الأول متوسط,Hala,هاله,Abdullah Saud Saud Al Saud,ناصر عبدالله سعود القحطاني,2009-08-05,1430-08-05,Female,REG358753,146158365,National_ID,https://files.catbox.moe/emgnbf.jpg
36,728,First Intermediate,الأول متوسط,Huda,هدي,Youssef Omar Abdelrahman Ali,بدر نور نور علي,2007-10-25,1428-10-25,Female,REG810855,278333859,Iqama,https://files.catbox.moe/mq2lyu.jpg
38,53,First Intermediate,الأول متوسط,Ismail,إسماعيل,Youssef Omar Abdelrahman Ali,بدر نور نور علي,2008-08-13,1429-08-13,Male,REG519269,247215930,Iqama,https://files.catbox.moe/ki5ubc.jpg
39,44,First Intermediate,الأول متوسط,Fahad,فهد,Youssef Omar Abdelrahman Ali,بدر نور نور علي,2006-08-24,1427-08-24,Male,REG840755,124420338,Iqama,https://files.catbox.moe/ki5ubc.jpg
44,25,First Intermediate,الأول متوسط,Fahad,فهد,Hassan Youssef Hassan Tawfik,منصور باسل باسل جابر,2006-06-15,1427-06-15,Male,REG632299,179755249,Iqama,https://files.catbox.moe/ki5ubc.jpg
45,737,First Intermediate,الأول متوسط,Fatima,فاطمه,Hassan Youssef Hassan Tawfik,منصور باسل باسل جابر,2010-01-10,1431-01-10,Female,REG928631,123378781,Iqama,https://files.catbox.moe/emgnbf.jpg
49,19,First Intermediate,الأول متوسط,Ismail,إسماعيل,Hassan Youssef Hassan Tawfik,منصور باسل باسل جابر,2006-06-08,1427-06-08,Male,REG502736,114937759,Iqama,https://files.catbox.moe/pusrqu.jpg
52,97,First Intermediate,الأول متوسط,Khalid,خالد,Nasser Abdullah Saud Al Qahtani,خالد رامي باسل كنعان,2016-10-22,1437-10-22,Male,REG391989,236209890,Iqama,https://files.catbox.moe/ki5ubc.jpg
53,56,First Intermediate,الأول متوسط,Abdelrahman,عبد الرحمن,Nasser Abdullah Saud Al Qahtani,خالد رامي باسل كنعان,2008-01-22,1429-01-22,Male,REG293114,241075462,Iqama,https://files.catbox.moe/ki5ubc.jpg
57,32,First Intermediate,الأول متوسط,Ahmed,احمد,Turki Fahad Fahad Al Saud,محمد رامي باسل عازار,2017-06-10,1438-06-10,Male,REG314326,284889678,Iqama,https://files.catbox.moe/pusrqu.jpg
59,24,First Intermediate,الأول متوسط,Mostafa,مصطفى,Turki Fahad Fahad Al Saud,محمد رامي باسل عازار,2011-07-17,1432-07-17,Male,REG749258,175670223,Iqama,https://files.catbox.moe/pusrqu.jpg
61,31,First Intermediate,الأول متوسط,Bassel,باسل,Turki Fahad Fahad Al Saud,محمد رامي باسل عازار,2018-02-09,1439-02-09,Male,REG603136,197507973,Iqama,https://files.catbox.moe/ki5ubc.jpg
65,4,First Intermediate,الأول متوسط,Nour,نور,Youssef Youssef Hassan Mahmoud,فيصل سعود آل سعود,2013-02-21,1434-02-21,Male,REG148924,273055666,Iqama,https://files.catbox.moe/ki5ubc.jpg
66,82,First Intermediate,الأول متوسط,Mostafa,مصطفى,Youssef Youssef Hassan Mahmoud,فيصل سعود آل سعود,2017-01-27,1438-01-27,Male,REG170265,143751248,Iqama,https://files.catbox.moe/pusrqu.jpg
67,625,First Intermediate,الأول متوسط,Maha,مها,Youssef Youssef Hassan Mahmoud,فيصل سعود آل سعود,2007-10-12,1428-10-12,Female,REG665753,118249924,Iqama,https://files.catbox.moe/mq2lyu.jpg
73,637,First Intermediate,الأول متوسط,Abeer,عبير,Mostafa Ahmed Hassan Ibrahim,أحمد يوسف أحمد توفيق,2008-08-31,1429-08-31,Female,REG888960,117420760,National_ID,https://files.catbox.moe/emgnbf.jpg
76,656,First Intermediate,الأول متوسط,Abeer,عبير,Mostafa Ahmed Hassan Ibrahim,أحمد يوسف أحمد توفيق,2017-06-19,1438-06-19,Female,REG156597,164851945,National_ID,https://files.catbox.moe/mq2lyu.jpg
78,704,First Intermediate,الأول متوسط,Huda,هدي,Saud Fahad Abdullah Al Saud,عمر عمر عبد الرحمن عبد الرحمن,2012-04-19,1433-04-19,Female,REG768294,184257496,National_ID,https://files.catbox.moe/mq2lyu.jpg
80,659,First Intermediate,الأول متوسط,Salma,سلمي,Saud Fahad Abdullah Al Saud,عمر عمر عبد الرحمن عبد الرحمن,2009-01-08,1430-01-08,Female,REG468589,255823432,National_ID,https://files.catbox.moe/mq2lyu.jpg
81,755,First Intermediate,الأول متوسط,Salma,سلمي,Saud Fahad Abdullah Al Saud,عمر عمر عبد الرحمن عبد الرحمن,2011-02-17,1432-02-17,Female,REG239171,260356086,National_ID,https://files.catbox.moe/mq2lyu.jpg
84,687,First Intermediate,الأول متوسط,Nihal,نهال,Saud Fahad Abdullah Al Saud,عمر عمر عبد الرحمن عبد الرحمن,2007-02-01,1428-02-01,Female,REG414624,253252104,National_ID,https://files.catbox.moe/emgnbf.jpg
85,86,First Intermediate,الأول متوسط,Ismail,إسماعيل,Fahad Fahad Khalid Al Saud,عبدالله تركي سعود المطيري,2009-11-23,1430-11-23,Male,REG529105,252571067,Iqama,https://files.catbox.moe/pusrqu.jpg
86,12,First Intermediate,الأول متوسط,Nader,نادر,Fahad Fahad Khalid Al Saud,عبدالله تركي سعود المطيري,2017-12-24,1438-12-24,Male,REG797312,126413682,Iqama,https://files.catbox.moe/ki5ubc.jpg
92,6,First Intermediate,الأول متوسط,Nader,نادر,Fahad Khalid Turki Al Harbi,يوسف طارق طارق فريد,2007-02-10,1428-02-10,Male,REG700369,210749795,National_ID,https://files.catbox.moe/ki5ubc.jpg
95,685,First Intermediate,الأول متوسط,Fatima,فاطمه,Fahad Khalid Turki Al Harbi,يوسف طارق طارق فريد,2016-09-24,1437-09-24,Female,REG900205,114200634,National_ID,https://files.catbox.moe/emgnbf.jpg
96,711,First Intermediate,الأول متوسط,Noura,نورا,Fahad Khalid Turki Al Harbi,يوسف طارق طارق فريد,2017-07-18,1438-07-18,Female,REG758049,186087131,National_ID,https://files.catbox.moe/mq2lyu.jpg
266,435,Third Primary,الثالث الابتدائي,Samah,سماح,Jamil Nader Rami Kanaan,تركي فهد فهد آل سعود,2014-05-26,1435-05-26,Female,REG798188,164071212,National_ID,https://files.catbox.moe/r5nj4o.jpg
277,447,Third Primary,الثالث الابتدائي,Rima,ريما,Ahmed Hassan Mostafa Ibrahim,مصطفى أحمد حسن إبراهيم,2019-04-22,1440-04-22,Female,REG469857,253912463,Iqama,https://files.catbox.moe/tyqlaa.jpg
294,522,Third Primary,الثالث الابتدائي,Samar,سمر,Bassel Jamil Bassel Jaber,فهد خالد تركي الحربي,2019-04-16,1440-04-16,Female,REG998549,253010436,Iqama,https://files.catbox.moe/tyqlaa.jpg
304,401,Third Primary,الثالث الابتدائي,Maha,مها,Abdullah Khalid Saud Al Otaibi,جميل نادر كرم جابر,2013-07-03,1434-07-03,Female,REG320894,181695224,National_ID,https://files.catbox.moe/r5nj4o.jpg
310,243,Third Primary,الثالث الابتدائي,Omar,عمر,Saud Turki Khalid Al Mutairi,باسل نادر رامي كنعان,2006-09-29,1427-09-29,Male,REG712952,162301368,Iqama,https://files.catbox.moe/tw1jzy.jpg
312,297,Third Primary,الثالث الابتدائي,Hassan,حسن,Saud Turki Khalid Al Mutairi,باسل نادر رامي كنعان,2006-05-26,1427-05-26,Male,REG680443,235114149,Iqama,https://files.catbox.moe/ypraoq.jpg
317,493,Third Primary,الثالث الابتدائي,Nihal,نهال,Nader Bassel Jamil Azar,كرم باسل جميل عازر,2016-02-05,1437-02-05,Female,REG504837,224268397,Iqama,https://files.catbox.moe/tyqlaa.jpg
321,286,Third Primary,الثالث الابتدائي,Ahmed,احمد,Nasser Fahad Turki Al Otaibi,خالد سعود خالد آل سعود,2014-10-16,1435-10-16,Male,REG601244,183334959,National_ID,https://files.catbox.moe/tw1jzy.jpg
326,501,Third Primary,الثالث الابتدائي,Latifa,لطيفة,Hassan Ahmed Ahmed El Sayed,أحمد مصطفى مصطفى إبراهيم,2012-12-03,1433-12-03,Female,REG277911,156145038,Iqama,https://files.catbox.moe/r5nj4o.jpg
328,264,Third Primary,الثالث الابتدائي,Rami,رامي,Hassan Ahmed Ahmed El Sayed,أحمد مصطفى مصطفى إبراهيم,2009-03-07,1430-03-07,Male,REG902962,239690500,Iqama,https://files.catbox.moe/tw1jzy.jpg
333,240,Third Primary,الثالث الابتدائي,Bassel,باسل,Tarek Mostafa Youssef Tawfik,عبد الرحمن إسماعيل نور عبد الرحمن,2018-10-21,1439-10-21,Male,REG450934,260839658,National_ID,https://files.catbox.moe/2l6fok.jpg
340,263,Third Primary,الثالث الابتدائي,Nour,نور,Abdullah Saud Saud Al Qahtani,عبدالله عبدالله سعود العتيبي,2014-10-06,1435-10-06,Male,REG614352,278149795,Iqama,https://files.catbox.moe/2l6fok.jpg
341,290,Third Primary,الثالث الابتدائي,Turki,تركي,Nour Abdelrahman Mohamed Ibrahim,كرم نادر رامي خوري,2016-08-20,1437-08-20,Male,REG361743,127933826,National_ID,https://files.catbox.moe/23kp94.jpg
355,283,Third Primary,الثالث الابتدائي,Turki,تركي,Mansour Karam Karam Azar,طارق حسن يوسف فريد,2008-02-14,1429-02-14,Male,REG671567,116302274,National_ID,https://files.catbox.moe/tw1jzy.jpg
356,261,Third Primary,الثالث الابتدائي,Tarek,طارق,Mansour Karam Karam Azar,طارق حسن يوسف فريد,2014-05-29,1435-05-29,Male,REG888877,283567393,National_ID,https://files.catbox.moe/ypraoq.jpg
360,413,Third Primary,الثالث الابتدائي,Dina,دينا,Mostafa Tarek Ahmed Farid,عبد الرحمن نور عبد الرحمن إبراهيم,2016-07-28,1437-07-28,Female,REG809018,182988432,Iqama,https://files.catbox.moe/r5nj4o.jpg
361,259,Third Primary,الثالث الابتدائي,Youssef,يوسف,Mostafa Tarek Ahmed Farid,عبد الرحمن نور عبد الرحمن إبراهيم,2016-11-24,1437-11-24,Male,REG352075,292418110,Iqama,https://files.catbox.moe/23kp94.jpg
